locus_tag	ftype	length_bp	gene	EC_number	COG	product
NDPPBKPF_00874	CDS	1644	ecpD			Fimbria adhesin EcpD
NDPPBKPF_00875	CDS	711	ecpE			putative fimbrial chaperone EcpE
NDPPBKPF_00876	CDS	690	glnP_1		COG0765	putative glutamine ABC transporter permease protein GlnP
NDPPBKPF_00877	CDS	753	gltJ_2		COG0765	Glutamate/aspartate import permease protein GltJ
NDPPBKPF_00878	CDS	819	glnQ_2			Glutamine transport ATP-binding protein GlnQ
NDPPBKPF_00879	CDS	810	glnH_1		COG0834	ABC transporter glutamine-binding protein GlnH
NDPPBKPF_00880	CDS	171				hypothetical protein
NDPPBKPF_00881	CDS	696	livF_3		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
NDPPBKPF_00882	CDS	783	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
NDPPBKPF_00883	CDS	1050				hypothetical protein
NDPPBKPF_00884	CDS	900	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
NDPPBKPF_00885	CDS	1137			COG0683	Leu/Ile/Val-binding protein 
NDPPBKPF_00886	CDS	777	eutC_1	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
NDPPBKPF_00887	CDS	1389	eutB_1	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
NDPPBKPF_00888	CDS	1380	yhdG		COG0531	putative amino acid permease YhdG
NDPPBKPF_00889	CDS	1410	rocC		COG0833	Amino-acid permease RocC
NDPPBKPF_00890	CDS	933	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
NDPPBKPF_00891	CDS	963	tauA		COG4521	Taurine-binding periplasmic protein
NDPPBKPF_00892	CDS	768	tauB	7.6.2.7	COG4525	Taurine import ATP-binding protein TauB
NDPPBKPF_00893	CDS	828	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
NDPPBKPF_00894	CDS	852	tauD	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
NDPPBKPF_00895	CDS	1719				hypothetical protein
NDPPBKPF_00896	CDS	492	rayT		COG1943	REP-associated tyrosine transposase
NDPPBKPF_00897	CDS	975	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
NDPPBKPF_00898	CDS	1161	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
NDPPBKPF_00899	CDS	534	rutB_2	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
NDPPBKPF_00900	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
NDPPBKPF_00901	CDS	1107				hypothetical protein
NDPPBKPF_00902	CDS	303	yaiY			Inner membrane protein YaiY
NDPPBKPF_00903	CDS	204				hypothetical protein
NDPPBKPF_00904	CDS	1098	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
NDPPBKPF_00905	CDS	684				hypothetical protein
NDPPBKPF_00906	CDS	1200	sbnD_1			Staphyloferrin B transporter
NDPPBKPF_00907	CDS	261	iraP			Anti-adapter protein IraP
NDPPBKPF_00908	CDS	1416	phoA	3.1.3.1	COG1785	Alkaline phosphatase
NDPPBKPF_00909	CDS	318	psiF			Phosphate starvation-inducible protein PsiF
NDPPBKPF_00910	CDS	810	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
NDPPBKPF_00911	CDS	459				hypothetical protein
NDPPBKPF_00912	CDS	711				hypothetical protein
NDPPBKPF_00913	CDS	534	aroL	2.7.1.71	COG0703	Shikimate kinase 2
NDPPBKPF_00914	CDS	192	yaiA			putative protein YaiA
NDPPBKPF_00915	CDS	666				hypothetical protein
NDPPBKPF_00916	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
NDPPBKPF_00917	CDS	912	rdgC		COG2974	Recombination-associated protein RdgC
NDPPBKPF_00918	CDS	915	mak_2	2.7.1.4	COG1940	Fructokinase
NDPPBKPF_00919	CDS	3138	sbcC		COG0419	Nuclease SbcCD subunit C
NDPPBKPF_00920	CDS	1206	sbcD		COG0420	Nuclease SbcCD subunit D
NDPPBKPF_00921	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
NDPPBKPF_00922	CDS	1296	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
NDPPBKPF_00923	CDS	1320	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
NDPPBKPF_00924	CDS	1374	proY_1		COG1113	Proline-specific permease ProY
NDPPBKPF_00925	CDS	1818	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
NDPPBKPF_00926	CDS	903	yhaJ_1			HTH-type transcriptional regulator YhaJ
NDPPBKPF_00927	CDS	153				hypothetical protein
NDPPBKPF_00928	CDS	642				hypothetical protein
NDPPBKPF_00929	CDS	546				hypothetical protein
NDPPBKPF_00930	CDS	1869	nfdA_1	3.5.1.91		N-substituted formamide deformylase
NDPPBKPF_00931	CDS	861	fba	4.1.2.13		Fructose-bisphosphate aldolase
NDPPBKPF_00932	CDS	963	yihV	2.7.1.184		Sulfofructose kinase
NDPPBKPF_00933	CDS	1392	ulaA_2		COG3037	Ascorbate-specific PTS system EIIC component
NDPPBKPF_00934	CDS	288				hypothetical protein
NDPPBKPF_00935	CDS	444				hypothetical protein
NDPPBKPF_00936	CDS	603	ahpC_2	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
NDPPBKPF_00937	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
NDPPBKPF_00938	CDS	1065	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
NDPPBKPF_00939	CDS	1128	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
NDPPBKPF_00940	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
NDPPBKPF_00941	CDS	1815	secD		COG0342	Protein translocase subunit SecD
NDPPBKPF_00942	CDS	972	secF		COG0341	Protein translocase subunit SecF
NDPPBKPF_00943	CDS	366				hypothetical protein
NDPPBKPF_00944	CDS	696				hypothetical protein
NDPPBKPF_00945	CDS	885	tsx		COG3248	Nucleoside-specific channel-forming protein Tsx
NDPPBKPF_00946	CDS	540	yajI			putative lipoprotein YajI
NDPPBKPF_00947	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
NDPPBKPF_00948	CDS	1104	ribD		COG0117	Riboflavin biosynthesis protein RibD
NDPPBKPF_00949	CDS	471	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
NDPPBKPF_00950	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
NDPPBKPF_00951	CDS	972	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
NDPPBKPF_00952	CDS	504	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
NDPPBKPF_00953	CDS	975	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
NDPPBKPF_00954	CDS	1863	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
NDPPBKPF_00955	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
NDPPBKPF_00956	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
NDPPBKPF_00957	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
NDPPBKPF_00958	CDS	477				hypothetical protein
NDPPBKPF_00959	CDS	594	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
NDPPBKPF_00960	CDS	912	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
NDPPBKPF_00961	CDS	492				hypothetical protein
NDPPBKPF_00962	CDS	1365	yajR		COG0477	Inner membrane transport protein YajR
NDPPBKPF_00963	CDS	1179	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
NDPPBKPF_00964	CDS	1365	pcaK_1		COG0477	4-hydroxybenzoate transporter PcaK
NDPPBKPF_00965	CDS	819				hypothetical protein
NDPPBKPF_00966	CDS	1026	ksdD	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
NDPPBKPF_00967	CDS	504			COG1662	IS1 family transposase IS1R
NDPPBKPF_00968	CDS	378				hypothetical protein
NDPPBKPF_00969	CDS	471				Tn3 family transposase ISShes11
NDPPBKPF_00970	CDS	504			COG1662	IS1 family transposase IS1R
NDPPBKPF_00971	CDS	258				hypothetical protein
NDPPBKPF_00972	CDS	264				hypothetical protein
NDPPBKPF_00973	CDS	264				hypothetical protein
NDPPBKPF_00974	CDS	327				hypothetical protein
NDPPBKPF_00975	CDS	267				hypothetical protein
NDPPBKPF_00976	CDS	1158				hypothetical protein
NDPPBKPF_00977	CDS	3411				hypothetical protein
NDPPBKPF_00978	CDS	1764				hypothetical protein
NDPPBKPF_00979	CDS	1047				hypothetical protein
NDPPBKPF_00980	CDS	537				hypothetical protein
NDPPBKPF_00981	CDS	444				hypothetical protein
NDPPBKPF_00982	CDS	1416				hypothetical protein
NDPPBKPF_00983	CDS	915	thpA_1		COG1879	D-threitol-binding protein
NDPPBKPF_00984	CDS	330				hypothetical protein
NDPPBKPF_00985	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
NDPPBKPF_00986	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
NDPPBKPF_00987	CDS	276				hypothetical protein
NDPPBKPF_00988	CDS	1047				hypothetical protein
NDPPBKPF_00989	CDS	1653	dauA_1		COG0659	C4-dicarboxylic acid transporter DauA
NDPPBKPF_00990	CDS	948	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
NDPPBKPF_00991	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
NDPPBKPF_00992	CDS	612	lolB		COG3017	Outer-membrane lipoprotein LolB
NDPPBKPF_00993	CDS	1257	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
NDPPBKPF_00994	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
NDPPBKPF_00995	CDS	849	prmC_2	2.1.1.297	COG2890	Release factor glutamine methyltransferase
NDPPBKPF_00996	CDS	393	ychQ		COG3094	Protein YchQ
NDPPBKPF_00997	CDS	813				hypothetical protein
NDPPBKPF_00998	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
NDPPBKPF_00999	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
NDPPBKPF_01000	CDS	231	chaB		COG4572	Putative cation transport regulator ChaB
NDPPBKPF_01001	CDS	681	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
NDPPBKPF_01002	CDS	243				hypothetical protein
NDPPBKPF_01003	CDS	354	ychN		COG1553	Protein YchN
NDPPBKPF_01004	CDS	1182	nasR			Nitrate regulatory protein
NDPPBKPF_01005	CDS	1257	nrtA		COG0715	Nitrate/nitrite binding protein NrtA
NDPPBKPF_01006	CDS	885	cmpB			Bicarbonate transport system permease protein CmpB
NDPPBKPF_01007	CDS	789	nrtD	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
NDPPBKPF_01008	CDS	378			COG1662	IS1 family transposase IS1R
NDPPBKPF_01009	CDS	276			COG1662	IS1 family transposase IS1D
NDPPBKPF_01010	CDS	843	phnC	7.3.2.1	COG3638	Phosphate-import ATP-binding protein PhnC
NDPPBKPF_01011	CDS	939				hypothetical protein
NDPPBKPF_01012	CDS	873				hypothetical protein
NDPPBKPF_01013	CDS	885				hypothetical protein
NDPPBKPF_01014	CDS	666		3.1.3.-	COG0560	putative phosphatase
NDPPBKPF_01015	CDS	870				hypothetical protein
NDPPBKPF_01016	CDS	462				hypothetical protein
NDPPBKPF_01017	CDS	1053	phoE		COG3203	Outer membrane porin PhoE
NDPPBKPF_01018	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
NDPPBKPF_01019	CDS	1254	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
NDPPBKPF_01020	tRNA	76				tRNA-Thr(cgt)
NDPPBKPF_01021	CDS	318				hypothetical protein
NDPPBKPF_01022	CDS	1770				hypothetical protein
NDPPBKPF_01023	CDS	783				hypothetical protein
NDPPBKPF_01024	CDS	3507				hypothetical protein
NDPPBKPF_01025	CDS	1320				hypothetical protein
NDPPBKPF_01026	CDS	186				hypothetical protein
NDPPBKPF_01027	CDS	1020				hypothetical protein
NDPPBKPF_01028	CDS	639				hypothetical protein
NDPPBKPF_01029	CDS	1107				hypothetical protein
NDPPBKPF_01030	CDS	651				hypothetical protein
NDPPBKPF_01031	CDS	294				hypothetical protein
NDPPBKPF_01032	CDS	375				hypothetical protein
NDPPBKPF_01033	CDS	285				hypothetical protein
NDPPBKPF_01034	CDS	255				hypothetical protein
NDPPBKPF_01035	CDS	288				hypothetical protein
NDPPBKPF_01036	CDS	471				hypothetical protein
NDPPBKPF_01037	CDS	387				hypothetical protein
NDPPBKPF_01038	CDS	711				hypothetical protein
NDPPBKPF_01039	CDS	3318				hypothetical protein
NDPPBKPF_01040	CDS	543				IS66 family transposase ISSgsp1
NDPPBKPF_01041	CDS	693				hypothetical protein
NDPPBKPF_01042	CDS	1401	xerC_2			Tyrosine recombinase XerC
NDPPBKPF_01043	CDS	3243				hypothetical protein
NDPPBKPF_01044	CDS	1683				hypothetical protein
NDPPBKPF_01045	CDS	744				hypothetical protein
NDPPBKPF_01046	CDS	2190				hypothetical protein
NDPPBKPF_01047	CDS	258				IS3 family transposase ISEhe3
NDPPBKPF_01048	CDS	2766	pknK	2.7.11.1	COG2909	Serine/threonine-protein kinase PknK
NDPPBKPF_01049	CDS	960	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
NDPPBKPF_01050	CDS	1020	acoB	1.1.1.-	COG0022	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta
NDPPBKPF_01051	CDS	1536	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
NDPPBKPF_01052	CDS	1398	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
NDPPBKPF_01053	CDS	252				hypothetical protein
NDPPBKPF_01054	CDS	792	lsrF_1	2.3.1.245	COG1830	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
NDPPBKPF_01055	CDS	552	glpP		COG1954	Glycerol uptake operon antiterminator regulatory protein
NDPPBKPF_01056	CDS	1539	lyx_2	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
NDPPBKPF_01057	CDS	762	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
NDPPBKPF_01058	CDS	996		1.17.1.9		Formate dehydrogenase, mitochondrial
NDPPBKPF_01059	CDS	1263	gatC		COG3775	PTS system galactitol-specific EIIC component
NDPPBKPF_01060	CDS	639	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GstB
NDPPBKPF_01061	CDS	750	yjhP			putative protein YjhP
NDPPBKPF_01062	CDS	258				hypothetical protein
NDPPBKPF_01063	CDS	978	glaH	1.14.11.-		Glutarate 2-hydroxylase
NDPPBKPF_01064	CDS	1269	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
NDPPBKPF_01065	CDS	369				hypothetical protein
NDPPBKPF_01066	CDS	258				IS1380 family transposase ISEcp1
NDPPBKPF_01067	CDS	123				hypothetical protein
NDPPBKPF_01068	CDS	642				hypothetical protein
NDPPBKPF_01069	CDS	258				IS1380 family transposase ISEcp1
NDPPBKPF_01070	CDS	123				hypothetical protein
NDPPBKPF_01071	CDS	876	bla_2	3.5.2.6		Beta-lactamase CTX-M-1
NDPPBKPF_01072	CDS	321				hypothetical protein
NDPPBKPF_01073	CDS	660	cat	2.3.1.28		Chloramphenicol acetyltransferase
NDPPBKPF_01074	CDS	276			COG1662	IS1 family transposase IS1D
NDPPBKPF_01075	CDS	378			COG1662	IS1 family transposase IS1R
NDPPBKPF_01076	CDS	201				hypothetical protein
NDPPBKPF_01077	tRNA	88				tRNA-Ser(gga)
NDPPBKPF_01078	CDS	678	ycaC	4.-.-.-	COG1335	putative hydrolase YcaC
NDPPBKPF_01079	CDS	861				hypothetical protein
NDPPBKPF_01080	CDS	906	dmlR_2			HTH-type transcriptional regulator DmlR
NDPPBKPF_01081	tRNA	88				tRNA-Ser(gga)
NDPPBKPF_01082	CDS	939	ghrA_1	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
NDPPBKPF_01083	CDS	738	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
NDPPBKPF_01084	CDS	555	ycdY		COG3381	Chaperone protein YcdY
NDPPBKPF_01085	CDS	483	ycdZ			Inner membrane protein YcdZ
NDPPBKPF_01086	CDS	528	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
NDPPBKPF_01087	CDS	594	betI_1			HTH-type transcriptional regulator BetI
NDPPBKPF_01088	CDS	1161	mdoC	2.1.-.-		Glucans biosynthesis protein C
NDPPBKPF_01089	CDS	1554	mdoG		COG3131	Glucans biosynthesis protein G
NDPPBKPF_01090	CDS	2529	mdoH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
NDPPBKPF_01091	CDS	228				hypothetical protein
NDPPBKPF_01092	CDS	387				hypothetical protein
NDPPBKPF_01093	CDS	1227	sbnD_2			Staphyloferrin B transporter
NDPPBKPF_01094	CDS	921	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
NDPPBKPF_01095	CDS	1065				hypothetical protein
NDPPBKPF_01096	CDS	114	yceO			putative protein YceO
NDPPBKPF_01097	CDS	1119	solA	1.5.3.-	COG0665	N-methyl-L-tryptophan oxidase
NDPPBKPF_01098	CDS	255	bssS			Biofilm regulator BssS
NDPPBKPF_01099	CDS	252	dinI_1			DNA damage-inducible protein I
NDPPBKPF_01100	CDS	1047	pyrC	3.5.2.3	COG0418	Dihydroorotase
NDPPBKPF_01101	CDS	561	yceB			putative lipoprotein YceB
NDPPBKPF_01102	CDS	1209	mdtH_1			Multidrug resistance protein MdtH
NDPPBKPF_01103	CDS	624	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
NDPPBKPF_01104	CDS	765				hypothetical protein
NDPPBKPF_01105	CDS	858	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
NDPPBKPF_01106	CDS	1536	murJ		COG0728	putative lipid II flippase MurJ
NDPPBKPF_01107	CDS	1215	sotB_2			sugar efflux transporter
NDPPBKPF_01108	CDS	936	dmlR_3			HTH-type transcriptional regulator DmlR
NDPPBKPF_01109	CDS	3234	rne	3.1.26.12	COG1530	Ribonuclease E
NDPPBKPF_01110	CDS	996	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
NDPPBKPF_01111	CDS	585	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
NDPPBKPF_01112	CDS	522	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
NDPPBKPF_01113	CDS	174	rpmF		COG0333	50S ribosomal protein L32
NDPPBKPF_01114	CDS	1161	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
NDPPBKPF_01115	CDS	954	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
NDPPBKPF_01116	CDS	930	fabD_2	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
NDPPBKPF_01117	CDS	735	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
NDPPBKPF_01118	CDS	237	acpP			Acyl carrier protein
NDPPBKPF_01119	CDS	1242	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
NDPPBKPF_01120	CDS	810	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
NDPPBKPF_01121	CDS	1023	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
NDPPBKPF_01122	CDS	642	tmk	2.7.4.9	COG0125	Thymidylate kinase
NDPPBKPF_01123	CDS	1005	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
NDPPBKPF_01124	CDS	795	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
NDPPBKPF_01125	CDS	1434	ptsG		COG1263	PTS system glucose-specific EIICB component
NDPPBKPF_01126	CDS	357	hinT	3.9.1.-	COG0537	Purine nucleoside phosphoramidase
NDPPBKPF_01127	CDS	375				hypothetical protein
NDPPBKPF_01128	CDS	648	lpoB		COG3417	Penicillin-binding protein activator LpoB
NDPPBKPF_01129	CDS	828	thiK	2.7.1.89	COG0510	Thiamine kinase
NDPPBKPF_01130	CDS	1023	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
NDPPBKPF_01131	CDS	543				hypothetical protein
NDPPBKPF_01132	CDS	1305	ndh	1.6.99.3	COG1252	NADH dehydrogenase
NDPPBKPF_01133	CDS	540				hypothetical protein
NDPPBKPF_01134	CDS	2190	iutA			Ferric aerobactin receptor
NDPPBKPF_01135	CDS	636	comR			HTH-type transcriptional repressor ComR
NDPPBKPF_01136	CDS	258	bhsA_1			Multiple stress resistance protein BhsA
NDPPBKPF_01137	CDS	960	ycfS	2.-.-.-	COG1376	putative L,D-transpeptidase YcfS
NDPPBKPF_01138	CDS	3447	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
NDPPBKPF_01139	CDS	1200	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
NDPPBKPF_01140	CDS	702	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
NDPPBKPF_01141	CDS	1245	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
NDPPBKPF_01142	CDS	912	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
NDPPBKPF_01143	CDS	831	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
NDPPBKPF_01144	CDS	345				hypothetical protein
NDPPBKPF_01145	CDS	963	sorC_1		COG2390	Sorbitol operon regulator
NDPPBKPF_01146	CDS	798	eryH	5.3.1.33		L-erythrulose-1-phosphate isomerase
NDPPBKPF_01147	CDS	1008	pdxA2_2	1.1.1.409	COG1995	D-erythronate 4-phosphate dehydrogenase
NDPPBKPF_01148	CDS	1719				hypothetical protein
NDPPBKPF_01149	CDS	1020	kdgT			2-keto-3-deoxygluconate permease
NDPPBKPF_01150	CDS	375	srlB_1		COG3731	PTS system glucitol/sorbitol-specific EIIA component
NDPPBKPF_01151	CDS	459	derI	5.3.1.34	COG0698	D-erythrulose-4-phosphate isomerase
NDPPBKPF_01152	CDS	951	talB_1	2.2.1.2	COG0176	Transaldolase B
NDPPBKPF_01153	CDS	1086				hypothetical protein
NDPPBKPF_01154	CDS	246				hypothetical protein
NDPPBKPF_01155	CDS	1671				hypothetical protein
NDPPBKPF_01156	rRNA	111				5S ribosomal RNA
NDPPBKPF_01157	CDS	462	yjaB	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
NDPPBKPF_01158	CDS	930	metAS	2.3.1.46	COG1897	Homoserine O-succinyltransferase
NDPPBKPF_01159	CDS	1602	aceB	2.3.3.9	COG2225	Malate synthase A
NDPPBKPF_01160	CDS	1320	aceA	4.1.3.1	COG2224	Isocitrate lyase
NDPPBKPF_01161	CDS	1785	aceK	2.7.11.5	COG4579	Isocitrate dehydrogenase kinase/phosphatase
NDPPBKPF_01162	CDS	831	iclR		COG1414	Transcriptional repressor IclR
NDPPBKPF_01163	CDS	3684	metH	2.1.1.13	COG0646	Methionine synthase
NDPPBKPF_01164	CDS	1632				hypothetical protein
NDPPBKPF_01165	CDS	690	pepE	3.4.13.21	COG3340	Peptidase E
NDPPBKPF_01166	CDS	876	rluF	5.4.99.-	COG1187	Dual-specificity RNA pseudouridine synthase RluF
NDPPBKPF_01167	CDS	273				hypothetical protein
NDPPBKPF_01168	CDS	930	panS		COG0385	Pantothenate precursors transporter PanS
NDPPBKPF_01169	CDS	1350	lysC	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
NDPPBKPF_01170	CDS	1650	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
NDPPBKPF_01171	CDS	456	lpxD_1	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
NDPPBKPF_01172	CDS	510				hypothetical protein
NDPPBKPF_01173	CDS	381	ridA_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
NDPPBKPF_01174	CDS	321				hypothetical protein
NDPPBKPF_01175	CDS	741	ygaZ_1		COG1296	Inner membrane protein YgaZ
NDPPBKPF_01176	CDS	1278				hypothetical protein
NDPPBKPF_01177	CDS	411	psiE		COG3223	Protein PsiE
NDPPBKPF_01178	CDS	891	malG_1		COG3833	Maltose/maltodextrin transport system permease protein MalG
NDPPBKPF_01179	CDS	1545	malF		COG1175	Maltose/maltodextrin transport system permease protein MalF
NDPPBKPF_01180	CDS	1191	malE		COG2182	Maltose/maltodextrin-binding periplasmic protein
NDPPBKPF_01181	CDS	1110	malK_1	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
NDPPBKPF_01182	CDS	1290	lamB_1		COG4580	Maltoporin
NDPPBKPF_01183	CDS	924				hypothetical protein
NDPPBKPF_01184	CDS	498	ubiC	4.1.3.40	COG3161	Chorismate pyruvate-lyase
NDPPBKPF_01185	CDS	867	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
NDPPBKPF_01186	CDS	2424	plsB	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
NDPPBKPF_01187	CDS	369	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
NDPPBKPF_01188	CDS	609	lexA_1	3.4.21.88	COG1974	LexA repressor
NDPPBKPF_01189	CDS	1317	dinF		COG0534	DNA damage-inducible protein F
NDPPBKPF_01190	CDS	210				hypothetical protein
NDPPBKPF_01191	CDS	516	zur		COG0735	Zinc uptake regulation protein
NDPPBKPF_01192	CDS	489				hypothetical protein
NDPPBKPF_01193	CDS	942	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
NDPPBKPF_01194	CDS	243	pspG			Phage shock protein G
NDPPBKPF_01195	CDS	984	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
NDPPBKPF_01196	CDS	1416	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
NDPPBKPF_01197	CDS	1080	alr	5.1.1.1	COG0787	Alanine racemase, biosynthetic
NDPPBKPF_01198	CDS	1194	tyrB_1	2.6.1.5	COG1448	Tyrosine aminotransferase
NDPPBKPF_01199	CDS	714	aphA	3.1.3.2	COG3700	Class B acid phosphatase
NDPPBKPF_01200	CDS	417				hypothetical protein
NDPPBKPF_01201	CDS	357	yjbR		COG2315	putative protein YjbR
NDPPBKPF_01202	CDS	2826	uvrA		COG0178	UvrABC system protein A
NDPPBKPF_01203	CDS	525	ssb		COG0629	Single-stranded DNA-binding protein
NDPPBKPF_01204	CDS	1581	mltF_2	4.2.2.-		Membrane-bound lytic murein transglycosylase F
NDPPBKPF_01205	CDS	2259	fepA_1		COG4771	Ferrienterobactin receptor
NDPPBKPF_01206	CDS	369	soxS_1			Regulatory protein SoxS
NDPPBKPF_01207	CDS	1761		3.1.1.102		Mono(2-hydroxyethyl) terephthalate hydrolase
NDPPBKPF_01208	CDS	2424	bamA_1		COG4775	Outer membrane protein assembly factor BamA
NDPPBKPF_01209	CDS	354	iraM			Anti-adapter protein IraM
